time	V(salida)
0.000000000000000e+000	4.029909e-003
1.530546588261688e-005	4.095389e-003
3.061093176523376e-005	4.067785e-003
4.591639764785063e-005	3.947098e-003
6.122186353046751e-005	3.733327e-003
7.652732941308438e-005	3.426474e-003
9.183279529570127e-005	3.026537e-003
1.071382611783181e-004	2.533517e-003
1.137649352854610e-004	2.296796e-003
1.203916093926038e-004	2.049346e-003
1.270182834997467e-004	1.791167e-003
1.336449576068896e-004	1.522257e-003
1.402716317140324e-004	1.242619e-003
1.468983058211753e-004	9.522505e-004
1.535249799283181e-004	6.511528e-004
1.584077924283181e-004	4.255064e-004
1.632906049283182e-004	1.979651e-004
1.681734174283182e-004	-3.147105e-005
1.730562299283182e-004	-2.628021e-004
1.779390424283182e-004	-4.960281e-004
1.828218549283182e-004	-7.311489e-004
1.877046674283182e-004	-9.681647e-004
1.946801138568896e-004	-1.308832e-003
2.016555602854610e-004	-1.643710e-003
2.086310067140325e-004	-1.972800e-003
2.156064531426039e-004	-2.296102e-003
2.225818995711754e-004	-2.613615e-003
2.295573459997468e-004	-2.925340e-003
2.365327924283182e-004	-3.231277e-003
2.462984174283182e-004	-3.643475e-003
2.560640424283182e-004	-4.019243e-003
2.658296674283182e-004	-4.358581e-003
2.755952924283182e-004	-4.661489e-003
2.853609174283182e-004	-4.927967e-003
2.951265424283182e-004	-5.158015e-003
3.048921674283183e-004	-5.351633e-003
3.216332388568897e-004	-5.556567e-003
3.383743102854611e-004	-5.607677e-003
3.551153817140326e-004	-5.504963e-003
3.718564531426041e-004	-5.248425e-003
3.885975245711755e-004	-4.838063e-003
4.053385959997469e-004	-4.273878e-003
4.220796674283184e-004	-3.555868e-003
4.287063415354612e-004	-3.236915e-003
4.353330156426041e-004	-2.902875e-003
4.419596897497470e-004	-2.553747e-003
4.485863638568898e-004	-2.189533e-003
4.552130379640327e-004	-1.810232e-003
4.618397120711755e-004	-1.415844e-003
4.684663861783184e-004	-1.006368e-003
4.733491986783183e-004	-6.991414e-004
4.782320111783183e-004	-3.890460e-004
4.831148236783182e-004	-7.608231e-005
4.879976361783182e-004	2.397497e-004
4.928804486783181e-004	5.584499e-004
4.977632611783182e-004	8.800185e-004
5.026460736783180e-004	1.204455e-003
5.092727477854608e-004	1.647449e-003
5.158994218926034e-004	2.084182e-003
5.225260959997462e-004	2.514655e-003
5.291527701068889e-004	2.938867e-003
5.357794442140317e-004	3.356819e-003
5.424061183211743e-004	3.768510e-003
5.490327924283171e-004	4.173941e-003
5.584496451068883e-004	4.732247e-003
5.678664977854595e-004	5.246770e-003
5.772833504640308e-004	5.717510e-003
5.867002031426020e-004	6.144468e-003
5.961170558211732e-004	6.527642e-003
6.055339084997444e-004	6.867034e-003
6.149507611783157e-004	7.162642e-003
6.327381495711724e-004	7.541683e-003
6.505255379640292e-004	7.683410e-003
6.683129263568860e-004	7.587823e-003
6.861003147497427e-004	7.254922e-003
7.038877031425995e-004	6.684707e-003
7.216750915354563e-004	5.877177e-003
7.394624799283130e-004	4.832334e-003
7.460891540354557e-004	4.393078e-003
7.527158281425984e-004	3.933331e-003
7.593425022497411e-004	3.453093e-003
7.659691763568839e-004	2.952365e-003
7.725958504640266e-004	2.431146e-003
7.792225245711693e-004	1.889436e-003
7.858491986783120e-004	1.327236e-003
7.903832388568834e-004	9.362414e-004
7.949172790354547e-004	5.417490e-004
7.994513192140261e-004	1.437585e-004
8.039853593925973e-004	-2.577300e-004
8.085193995711686e-004	-6.627166e-004
8.130534397497400e-004	-1.071201e-003
8.175874799283113e-004	-1.483184e-003
8.238653817140255e-004	-2.057443e-003
8.301432834997396e-004	-2.625108e-003
8.364211852854538e-004	-3.186179e-003
8.426990870711679e-004	-3.740656e-003
8.489769888568821e-004	-4.288538e-003
8.552548906425963e-004	-4.829827e-003
8.615327924283104e-004	-5.364521e-003
8.706008727854531e-004	-6.117554e-003
8.796689531425957e-004	-6.818434e-003
8.887370334997384e-004	-7.467164e-003
8.978051138568811e-004	-8.063742e-003
9.068731942140238e-004	-8.608169e-003
9.159412745711663e-004	-9.100445e-003
9.250093549283090e-004	-9.540570e-003
9.438430602854515e-004	-1.020519e-002
9.626767656425940e-004	-1.050664e-002
9.815104709997365e-004	-1.044491e-002
1.000344176356879e-003	-1.002002e-002
1.019177881714022e-003	-9.231953e-003
1.038011587071164e-003	-8.080716e-003
1.056845292428306e-003	-6.566308e-003
1.063471966535449e-003	-5.961409e-003
1.070098640642592e-003	-5.328682e-003
1.076725314749735e-003	-4.668130e-003
1.083351988856877e-003	-3.979750e-003
1.089978662964020e-003	-3.263544e-003
1.096605337071163e-003	-2.519512e-003
1.103232011178306e-003	-1.747653e-003
1.110556229928305e-003	-8.814718e-004
1.117880448678305e-003	2.131801e-006
1.122065716535448e-003	5.153674e-004
1.126250984392591e-003	1.029764e-003
1.130436252249734e-003	1.545323e-003
1.134621520106876e-003	2.062042e-003
1.138806787964019e-003	2.579923e-003
1.142992055821162e-003	3.098965e-003
1.147177323678305e-003	3.619169e-003
1.154152770106876e-003	4.488118e-003
1.161128216535447e-003	5.336662e-003
1.168103662964018e-003	6.164802e-003
1.175079109392590e-003	6.972537e-003
1.182054555821161e-003	7.759867e-003
1.189030002249732e-003	8.526792e-003
1.196005448678304e-003	9.273313e-003
1.206119845999732e-003	1.030224e-002
1.216234243321160e-003	1.122072e-002
1.226348640642589e-003	1.202877e-002
1.236463037964017e-003	1.272639e-002
1.246577435285445e-003	1.331357e-002
1.256691832606874e-003	1.379031e-002
1.266806229928302e-003	1.415661e-002
1.281803439749730e-003	1.440269e-002
1.296800649571158e-003	1.433132e-002
1.311797859392587e-003	1.394251e-002
1.326795069214015e-003	1.323625e-002
1.341792279035443e-003	1.221254e-002
1.356789488856872e-003	1.087139e-002
1.371786698678300e-003	9.212796e-003
1.378413372785443e-003	8.397918e-003
1.385040046892585e-003	7.543929e-003
1.391666720999728e-003	6.650827e-003
1.398293395106871e-003	5.718612e-003
1.404920069214013e-003	4.747285e-003
1.411546743321156e-003	3.736846e-003
1.418173417428299e-003	2.687295e-003
1.425497636178299e-003	1.507811e-003
1.432821854928298e-003	3.029525e-004
1.437704667428298e-003	-5.113826e-004
1.442238707606870e-003	-1.277508e-003
1.446772747785441e-003	-2.044031e-003
1.451306787964012e-003	-2.810952e-003
1.455840828142584e-003	-3.578271e-003
1.460374868321155e-003	-4.345988e-003
1.464908908499726e-003	-5.114103e-003
1.469442948678298e-003	-5.882616e-003
1.476767167428298e-003	-7.122733e-003
1.484091386178297e-003	-8.325978e-003
1.491415604928297e-003	-9.492349e-003
1.498739823678297e-003	-1.062185e-002
1.506064042428297e-003	-1.171447e-002
1.513388261178297e-003	-1.277022e-002
1.520712479928297e-003	-1.378910e-002
1.531175649571153e-003	-1.515105e-002
1.541638819214010e-003	-1.633937e-002
1.552101988856867e-003	-1.735407e-002
1.562565158499724e-003	-1.819514e-002
1.573028328142581e-003	-1.886260e-002
1.583491497785438e-003	-1.935642e-002
1.593954667428295e-003	-1.967663e-002
1.607905560285438e-003	-1.971715e-002
1.621856453142580e-003	-1.938434e-002
1.635807345999723e-003	-1.867817e-002
1.649758238856865e-003	-1.759867e-002
1.663709131714008e-003	-1.614581e-002
1.677660024571150e-003	-1.431962e-002
1.691610917428293e-003	-1.212008e-002
1.697888819214007e-003	-1.103641e-002
1.704166720999721e-003	-9.905847e-003
1.710444622785435e-003	-8.728384e-003
1.716722524571150e-003	-7.504022e-003
1.723000426356864e-003	-6.232763e-003
1.729278328142578e-003	-4.914607e-003
1.735556229928292e-003	-3.549552e-003
1.742880448678292e-003	-1.930836e-003
1.747763261178292e-003	-8.322471e-004
1.752646073678292e-003	2.790283e-004
1.756831341535434e-003	1.243912e-003
1.761016609392577e-003	2.210492e-003
1.765201877249720e-003	3.178770e-003
1.769387145106863e-003	4.148745e-003
