time	V(salida)
0.000000000000000e+000	3.958178e-003
1.217084867727135e-005	3.915758e-003
2.434169735454269e-005	3.822015e-003
3.651254603181404e-005	3.676949e-003
4.868339470908538e-005	3.480559e-003
6.085424338635673e-005	3.232846e-003
7.302509206362807e-005	2.933810e-003
8.519594074089939e-005	2.583451e-003
9.252015949089940e-005	2.354970e-003
9.984437824089941e-005	2.117256e-003
1.071685969908994e-004	1.870309e-003
1.144928157408994e-004	1.614128e-003
1.218170344908994e-004	1.348715e-003
1.291412532408994e-004	1.074068e-003
1.364654719908994e-004	7.901876e-004
1.420458291337566e-004	5.719559e-004
1.476261862766138e-004	3.536444e-004
1.532065434194709e-004	1.352532e-004
1.587869005623280e-004	-8.321772e-005
1.643672577051852e-004	-3.017684e-004
1.699476148480423e-004	-5.203987e-004
1.755279719908995e-004	-7.391088e-004
1.825034184194709e-004	-1.010130e-003
1.894788648480423e-004	-1.273204e-003
1.964543112766138e-004	-1.528333e-003
2.034297577051852e-004	-1.775515e-003
2.104052041337567e-004	-2.014751e-003
2.173806505623281e-004	-2.246041e-003
2.243560969908995e-004	-2.469384e-003
2.358655835980424e-004	-2.814114e-003
2.473750702051852e-004	-3.113754e-003
2.588845568123281e-004	-3.368303e-003
2.703940434194710e-004	-3.577760e-003
2.819035300266138e-004	-3.742127e-003
2.934130166337567e-004	-3.861403e-003
3.049225032408995e-004	-3.935588e-003
3.178270791337567e-004	-3.944019e-003
3.307316550266139e-004	-3.892360e-003
3.436362309194710e-004	-3.780609e-003
3.565408068123282e-004	-3.608767e-003
3.694453827051853e-004	-3.376834e-003
3.823499585980425e-004	-3.084809e-003
3.952545344908996e-004	-2.732694e-003
4.025787532408996e-004	-2.513834e-003
4.099029719908996e-004	-2.284793e-003
4.172271907408996e-004	-2.045573e-003
4.245514094908996e-004	-1.796172e-003
4.318756282408997e-004	-1.536592e-003
4.391998469908997e-004	-1.266831e-003
4.465240657408997e-004	-9.868902e-004
4.510581059194711e-004	-8.120670e-004
4.555921460980425e-004	-6.364867e-004
4.601261862766140e-004	-4.601495e-004
4.646602264551854e-004	-2.830553e-004
4.691942666337568e-004	-1.052040e-004
4.737283068123283e-004	7.340426e-005
4.782623469908997e-004	2.527695e-004
4.841914764551853e-004	4.872744e-004
4.901206059194709e-004	7.181004e-004
4.960497353837565e-004	9.452477e-004
5.019788648480422e-004	1.168716e-003
5.079079943123278e-004	1.388506e-003
5.138371237766134e-004	1.604616e-003
5.197662532408990e-004	1.817048e-003
5.291831059194703e-004	2.143880e-003
5.385999585980415e-004	2.445839e-003
5.480168112766128e-004	2.722925e-003
5.574336639551840e-004	2.975138e-003
5.668505166337551e-004	3.202478e-003
5.762673693123264e-004	3.404945e-003
5.856842219908976e-004	3.582538e-003
6.020765210980402e-004	3.803762e-003
6.184688202051827e-004	3.923664e-003
6.348611193123251e-004	3.942243e-003
6.512534184194677e-004	3.859500e-003
6.676457175266102e-004	3.675434e-003
6.840380166337526e-004	3.390047e-003
7.004303157408952e-004	3.003336e-003
7.084520791337521e-004	2.784438e-003
7.164738425266092e-004	2.551728e-003
7.244956059194661e-004	2.305205e-003
7.325173693123230e-004	2.044870e-003
7.405391327051801e-004	1.770723e-003
7.485608960980370e-004	1.482763e-003
7.565826594908940e-004	1.180991e-003
7.611166996694653e-004	1.008490e-003
7.656507398480367e-004	8.348235e-004
7.701847800266080e-004	6.599914e-004
7.747188202051793e-004	4.839939e-004
7.792528603837506e-004	3.068310e-004
7.837869005623220e-004	1.285027e-004
7.883209407408933e-004	-5.099100e-005
7.939012978837503e-004	-2.722804e-004
7.994816550266074e-004	-4.910583e-004
8.050620121694644e-004	-7.073249e-004
8.106423693123214e-004	-9.210801e-004
8.162227264551785e-004	-1.132324e-003
8.218030835980355e-004	-1.341056e-003
8.273834407408925e-004	-1.547277e-003
8.361027487766066e-004	-1.862168e-003
8.448220568123207e-004	-2.157849e-003
8.535413648480348e-004	-2.434323e-003
8.622606728837488e-004	-2.691588e-003
8.709799809194630e-004	-2.929644e-003
8.796992889551771e-004	-3.148492e-003
8.884185969908912e-004	-3.348131e-003
9.065547577051766e-004	-3.671632e-003
9.246909184194619e-004	-3.871167e-003
9.428270791337472e-004	-3.946736e-003
9.609632398480326e-004	-3.898340e-003
9.790994005623179e-004	-3.725977e-003
9.972355612766033e-004	-3.429649e-003
1.015371721990889e-003	-3.009355e-003
1.023393485383746e-003	-2.791041e-003
1.031415248776603e-003	-2.558864e-003
1.039437012169460e-003	-2.312826e-003
1.047458775562317e-003	-2.052925e-003
1.055480538955174e-003	-1.779163e-003
1.063502302348031e-003	-1.491538e-003
1.071524065740888e-003	-1.190051e-003
1.076406878240887e-003	-1.004176e-003
1.081289690740887e-003	-8.170404e-004
1.086172503240887e-003	-6.286438e-004
1.091055315740887e-003	-4.389862e-004
1.095938128240887e-003	-2.480676e-004
1.100820940740887e-003	-5.588815e-005
1.105703753240887e-003	1.375523e-004
1.111284110383744e-003	3.585709e-004
1.116864467526601e-003	5.768176e-004
1.122444824669458e-003	7.922926e-004
1.128025181812315e-003	1.004996e-003
1.133605538955172e-003	1.214927e-003
1.139185896098029e-003	1.422087e-003
1.144766253240886e-003	1.626474e-003
1.153834333598029e-003	1.950478e-003
1.162902413955171e-003	2.252905e-003
1.171970494312314e-003	2.533756e-003
1.181038574669457e-003	2.793030e-003
1.190106655026599e-003	3.030728e-003
1.199174735383742e-003	3.246850e-003
1.208242815740885e-003	3.441396e-003
1.225681431812313e-003	3.724719e-003
1.243120047883741e-003	3.893312e-003
1.260558663955169e-003	3.947178e-003
1.277997280026597e-003	3.886315e-003
1.295435896098026e-003	3.710723e-003
1.312874512169454e-003	3.420403e-003
1.330313128240882e-003	3.015355e-003
1.338334891633739e-003	2.797626e-003
1.346356655026596e-003	2.565985e-003
1.354378418419453e-003	2.320432e-003
1.362400181812310e-003	2.060967e-003
