time	V(n002)
0.000000000000000e+000	2.086957e+000
2.441406278530511e-011	5.217343e-001
4.882812557061023e-011	-9.563591e-006
4.293680250878420e-006	-8.099380e-001
8.587311673631269e-006	-1.590367e+000
1.288094309638412e-005	-2.341297e+000
1.717457451913697e-005	-3.062728e+000
2.146820594188982e-005	-3.754659e+000
2.576183736464267e-005	-4.417092e+000
3.005546878739551e-005	-5.050025e+000
3.737968753739551e-005	-6.057536e+000
4.470390628739552e-005	-6.976171e+000
5.202812503739552e-005	-7.806201e+000
6.249129468025267e-005	-8.822159e+000
7.295446432310982e-005	-9.678895e+000
8.341763396596698e-005	-1.037641e+001
9.388080360882413e-005	-1.091470e+001
1.043439732516813e-004	-1.129378e+001
1.148071428945384e-004	-1.151363e+001
1.252703125373956e-004	-1.157426e+001
1.346871652159670e-004	-1.151665e+001
1.441040178945384e-004	-1.138379e+001
1.535208705731099e-004	-1.117567e+001
1.629377232516813e-004	-1.089230e+001
1.723545759302528e-004	-1.053367e+001
1.817714286088242e-004	-1.009979e+001
1.911882812873956e-004	-9.590660e+000
1.999075893231099e-004	-9.082436e+000
2.086268973588242e-004	-8.555357e+000
2.173462053945385e-004	-8.009423e+000
2.260655134302528e-004	-7.444633e+000
2.347848214659671e-004	-6.860988e+000
2.435041295016814e-004	-6.258487e+000
2.522234375373957e-004	-5.637131e+000
2.595476562873957e-004	-5.120671e+000
2.668718750373957e-004	-4.612363e+000
2.741960937873957e-004	-4.112208e+000
2.815203125373957e-004	-3.620205e+000
2.888445312873957e-004	-3.136354e+000
2.961687500373957e-004	-2.660655e+000
3.034929687873957e-004	-2.193109e+000
3.108171875373957e-004	-1.745685e+000
3.181414062873957e-004	-1.314631e+000
3.230242187873957e-004	-1.037012e+000
3.254656250373957e-004	-9.012600e-001
3.279070312873958e-004	-7.676018e-001
3.303484375373958e-004	-6.360755e-001
3.327898437873958e-004	-5.067174e-001
3.352312500373958e-004	-3.795620e-001
3.376726562873958e-004	-2.546417e-001
3.401140625373958e-004	-1.319870e-001
3.425554687873958e-004	-1.162647e-002
3.449968750373958e-004	1.064132e-001
3.474382812873958e-004	2.221072e-001
3.498796875373958e-004	3.354327e-001
3.523210937873958e-004	4.463686e-001
3.572039062873958e-004	6.609962e-001
3.620867187873958e-004	8.658574e-001
3.669695312873958e-004	1.060847e+000
3.742937500373958e-004	1.334661e+000
3.816179687873958e-004	1.585943e+000
3.889421875373958e-004	1.814667e+000
3.962664062873958e-004	2.020926e+000
4.067295759302530e-004	2.272462e+000
4.171927455731101e-004	2.483845e+000
4.276559152159673e-004	2.655076e+000
4.381190848588245e-004	2.786155e+000
4.485822545016816e-004	2.877081e+000
4.590454241445388e-004	2.927855e+000
4.695085937873959e-004	2.938477e+000
4.789254464659672e-004	2.919953e+000
4.883422991445385e-004	2.882649e+000
4.977591518231097e-004	2.826564e+000
5.071760045016811e-004	2.751699e+000
5.165928571802523e-004	2.658053e+000
5.260097098588237e-004	2.545628e+000
5.354265625373949e-004	2.414421e+000
5.437970982516804e-004	2.289544e+000
5.521676339659660e-004	2.160296e+000
5.605381696802515e-004	2.026678e+000
5.689087053945371e-004	1.888689e+000
5.772792411088226e-004	1.746331e+000
5.856497768231082e-004	1.599602e+000
5.940203125373937e-004	1.448502e+000
6.013445312873935e-004	1.317348e+000
6.086687500373933e-004	1.188189e+000
6.159929687873932e-004	1.061025e+000
6.233171875373930e-004	9.358564e-001
6.306414062873929e-004	8.126824e-001
6.379656250373927e-004	6.915035e-001
6.452898437873926e-004	5.723194e-001
6.526140625373924e-004	4.582048e-001
6.599382812873923e-004	3.481975e-001
6.648210937873921e-004	2.773105e-001
6.672625000373921e-004	2.426368e-001
6.697039062873920e-004	2.084905e-001
6.721453125373920e-004	1.748815e-001
6.745867187873919e-004	1.418193e-001
6.770281250373919e-004	1.093128e-001
6.794695312873918e-004	7.737039e-002
6.819109375373918e-004	4.600010e-002
6.843523437873917e-004	1.520935e-002
6.867937500373917e-004	-1.499489e-002
6.892351562873916e-004	-4.460616e-002
6.916765625373916e-004	-7.361843e-002
6.941179687873915e-004	-1.020262e-001
6.990007812873914e-004	-1.570082e-001
7.038835937873913e-004	-2.095172e-001
7.087664062873912e-004	-2.595250e-001
7.160906250373911e-004	-3.298028e-001
7.234148437873909e-004	-3.943641e-001
7.307390625373907e-004	-4.531978e-001
7.380632812873906e-004	-5.063237e-001
7.485264509302475e-004	-5.712734e-001
7.589896205731045e-004	-6.259838e-001
7.694527902159614e-004	-6.704549e-001
7.799159598588182e-004	-7.046867e-001
