X,CH1,CH2,
Second,Volt,Volt,
-8.19e-04,-2.40e+00,-3.04e-02,
-8.19e-04,-2.40e+00,-3.04e-02,
-8.19e-04,-2.40e+00,-3.04e-02,
-8.19e-04,-2.40e+00,-3.04e-02,
-8.18e-04,-2.40e+00,-3.04e-02,
-8.18e-04,-2.40e+00,-3.04e-02,
-8.18e-04,-2.40e+00,-3.04e-02,
-8.18e-04,-2.40e+00,-3.04e-02,
-8.18e-04,-2.40e+00,-3.04e-02,
-8.17e-04,-2.40e+00,-3.04e-02,
-8.17e-04,-2.40e+00,-3.04e-02,
-8.17e-04,-2.40e+00,-3.04e-02,
-8.17e-04,-2.40e+00,-3.04e-02,
-8.17e-04,-2.40e+00,-3.04e-02,
-8.16e-04,-2.40e+00,-3.04e-02,
-8.16e-04,-2.40e+00,-3.04e-02,
-8.16e-04,-2.40e+00,-3.04e-02,
-8.16e-04,-2.40e+00,-3.04e-02,
-8.16e-04,-2.40e+00,-3.04e-02,
-8.15e-04,-2.40e+00,-3.04e-02,
-8.15e-04,-2.40e+00,-3.04e-02,
-8.15e-04,-2.40e+00,-3.04e-02,
-8.15e-04,-2.20e+00,-3.04e-02,
-8.15e-04,-2.20e+00,-3.04e-02,
-8.14e-04,-2.20e+00,-3.04e-02,
-8.14e-04,-2.20e+00,-3.20e-02,
-8.14e-04,-2.00e+00,-3.12e-02,
-8.14e-04,-2.00e+00,-3.12e-02,
-8.14e-04,-2.00e+00,-3.12e-02,
-8.13e-04,-1.80e+00,-3.12e-02,
-8.13e-04,-1.80e+00,-3.04e-02,
-8.13e-04,-1.80e+00,-3.20e-02,
-8.13e-04,-1.60e+00,-3.20e-02,
-8.13e-04,-1.60e+00,-3.28e-02,
-8.12e-04,-1.60e+00,-3.20e-02,
-8.12e-04,-1.40e+00,-3.20e-02,
-8.12e-04,-1.40e+00,-3.28e-02,
-8.12e-04,-1.20e+00,-3.20e-02,
-8.12e-04,-1.20e+00,-3.36e-02,
-8.11e-04,-1.20e+00,-3.28e-02,
-8.11e-04,-1.20e+00,-3.36e-02,
-8.11e-04,-1.20e+00,-3.20e-02,
-8.11e-04,-1.00e+00,-3.20e-02,
-8.11e-04,-1.00e+00,-3.36e-02,
-8.10e-04,-8.00e-01,-3.28e-02,
-8.10e-04,-8.00e-01,-3.36e-02,
-8.10e-04,-8.00e-01,-3.36e-02,
-8.10e-04,-8.00e-01,-3.36e-02,
-8.10e-04,-6.00e-01,-3.36e-02,
-8.09e-04,-4.00e-01,-3.36e-02,
-8.09e-04,-4.00e-01,-3.44e-02,
-8.09e-04,-4.00e-01,-3.44e-02,
-8.09e-04,-2.00e-01,-3.36e-02,
-8.09e-04,-2.00e-01,-3.36e-02,
-8.08e-04,-2.00e-01,-3.52e-02,
-8.08e-04,0.00e+00,-3.52e-02,
-8.08e-04,0.00e+00,-3.44e-02,
-8.08e-04,0.00e+00,-3.60e-02,
-8.08e-04,2.00e-01,-3.52e-02,
-8.07e-04,2.00e-01,-3.52e-02,
-8.07e-04,2.00e-01,-3.68e-02,
-8.07e-04,2.00e-01,-3.52e-02,
-8.07e-04,4.00e-01,-3.52e-02,
-8.07e-04,4.00e-01,-3.44e-02,
-8.06e-04,4.00e-01,-3.44e-02,
-8.06e-04,6.00e-01,-3.60e-02,
-8.06e-04,6.00e-01,-3.68e-02,
-8.06e-04,6.00e-01,-3.68e-02,
-8.06e-04,8.00e-01,-3.76e-02,
-8.05e-04,8.00e-01,-3.68e-02,
-8.05e-04,8.00e-01,-3.68e-02,
-8.05e-04,1.00e+00,-3.68e-02,
-8.05e-04,1.00e+00,-3.68e-02,
-8.05e-04,1.00e+00,-3.68e-02,
-8.04e-04,1.20e+00,-3.76e-02,
-8.04e-04,1.20e+00,-3.76e-02,
-8.04e-04,1.20e+00,-3.68e-02,
-8.04e-04,1.40e+00,-3.76e-02,
-8.04e-04,1.40e+00,-3.76e-02,
-8.03e-04,1.40e+00,-3.76e-02,
-8.03e-04,1.60e+00,-3.68e-02,
-8.03e-04,1.60e+00,-3.84e-02,
-8.03e-04,1.80e+00,-3.84e-02,
-8.03e-04,1.80e+00,-3.84e-02,
-8.02e-04,1.80e+00,-3.84e-02,
-8.02e-04,2.00e+00,-3.84e-02,
-8.02e-04,2.00e+00,-3.92e-02,
-8.02e-04,2.00e+00,-3.92e-02,
-8.02e-04,2.20e+00,-3.92e-02,
-8.01e-04,2.20e+00,-3.84e-02,
-8.01e-04,2.20e+00,-3.92e-02,
-8.01e-04,2.20e+00,-4.00e-02,
-8.01e-04,2.20e+00,-4.00e-02,
-8.01e-04,2.40e+00,-4.00e-02,
-8.00e-04,2.40e+00,-4.00e-02,
-8.00e-04,2.40e+00,-3.92e-02,
-8.00e-04,2.60e+00,-4.00e-02,
-8.00e-04,2.60e+00,-4.00e-02,
-8.00e-04,2.60e+00,-4.00e-02,
-7.99e-04,3.00e+00,-4.00e-02,
-7.99e-04,2.60e+00,-4.00e-02,
-7.99e-04,3.00e+00,-4.16e-02,
-7.99e-04,3.20e+00,-4.24e-02,
-7.99e-04,3.40e+00,-4.08e-02,
-7.98e-04,3.20e+00,-4.08e-02,
-7.98e-04,3.20e+00,-4.08e-02,
-7.98e-04,3.40e+00,-4.00e-02,
-7.98e-04,3.40e+00,-4.08e-02,
