Freq.	V(out)
1.59154943091895e+001	(-1.42138671743566e-003dB,-1.14640661891493e+000°)
1.60381202347260e+001	(-1.43482146789049e-003dB,-1.15523887349161e+000°)
1.61616909702271e+001	(-1.44846401914225e-003dB,-1.16413916508195e+000°)
1.62862137952778e+001	(-1.46231758498693e-003dB,-1.17310801757554e+000°)
1.64116960455513e+001	(-1.47638542891989e-003dB,-1.18214595889094e+000°)
1.65381451132405e+001	(-1.49067086492590e-003dB,-1.19125352100652e+000°)
1.66655684474940e+001	(-1.50517725817973e-003dB,-1.20043123999158e+000°)
1.67939735548544e+001	(-1.51990802592021e-003dB,-1.20967965603767e+000°)
1.69233679997012e+001	(-1.53486663824347e-003dB,-1.21899931349016e+000°)
1.70537594046958e+001	(-1.55005661885846e-003dB,-1.22839076088007e+000°)
1.71851554512308e+001	(-1.56548154597861e-003dB,-1.23785455095612e+000°)
1.73175638798826e+001	(-1.58114505316337e-003dB,-1.24739124071702e+000°)
1.74509924908672e+001	(-1.59705083010377e-003dB,-1.25700139144399e+000°)
1.75854491444999e+001	(-1.61320262357985e-003dB,-1.26668556873360e+000°)
1.77209417616582e+001	(-1.62960423830903e-003dB,-1.27644434253075e+000°)
1.78574783242485e+001	(-1.64625953778396e-003dB,-1.28627828716197e+000°)
1.79950668756764e+001	(-1.66317244528889e-003dB,-1.29618798136895e+000°)
1.81337155213202e+001	(-1.68034694471831e-003dB,-1.30617400834237e+000°)
1.82734324290090e+001	(-1.69778708160017e-003dB,-1.31623695575586e+000°)
1.84142258295032e+001	(-1.71549696400343e-003dB,-1.32637741580037e+000°)
1.85561040169797e+001	(-1.73348076348703e-003dB,-1.33659598521870e+000°)
1.86990753495208e+001	(-1.75174271612913e-003dB,-1.34689326534032e+000°)
1.88431482496058e+001	(-1.77028712348497e-003dB,-1.35726986211644e+000°)
1.89883312046081e+001	(-1.78911835362767e-003dB,-1.36772638615539e+000°)
1.91346327672944e+001	(-1.80824084213620e-003dB,-1.37826345275817e+000°)
1.92820615563290e+001	(-1.82765909320096e-003dB,-1.38888168195441e+000°)
1.94306262567814e+001	(-1.84737768061473e-003dB,-1.39958169853843e+000°)
1.95803356206381e+001	(-1.86740124890928e-003dB,-1.41036413210575e+000°)
1.97311984673176e+001	(-1.88773451439085e-003dB,-1.42122961708970e+000°)
1.98832236841909e+001	(-1.90838226628944e-003dB,-1.43217879279846e+000°)
2.00364202271042e+001	(-1.92934936788125e-003dB,-1.44321230345226e+000°)
2.01907971209069e+001	(-1.95064075760538e-003dB,-1.45433079822094e+000°)
2.03463634599833e+001	(-1.97226145027995e-003dB,-1.46553493126175e+000°)
2.05031284087880e+001	(-1.99421653820546e-003dB,-1.47682536175743e+000°)
2.06611012023864e+001	(-2.01651119243709e-003dB,-1.48820275395459e+000°)
2.08202911469981e+001	(-2.03915066393935e-003dB,-1.49966777720242e+000°)
2.09807076205453e+001	(-2.06214028488072e-003dB,-1.51122110599159e+000°)
2.11423600732055e+001	(-2.08548546982327e-003dB,-1.52286341999353e+000°)
2.13052580279681e+001	(-2.10919171704155e-003dB,-1.53459540409995e+000°)
2.14694110811954e+001	(-2.13326460982147e-003dB,-1.54641774846272e+000°)
2.16348289031876e+001	(-2.15770981770320e-003dB,-1.55833114853397e+000°)
2.18015212387531e+001	(-2.18253309792977e-003dB,-1.57033630510652e+000°)
2.19694979077820e+001	(-2.20774029669213e-003dB,-1.58243392435467e+000°)
2.21387688058250e+001	(-2.23333735055962e-003dB,-1.59462471787517e+000°)
2.23093439046761e+001	(-2.25933028788352e-003dB,-1.60690940272865e+000°)
