time	V(n001)	I(C1)
0.000000000000000e+000	1.000000e+000	1.000000e-012
3.657142652205690e-009	1.000000e+000	1.904486e-010
7.314285304411379e-009	1.000000e+000	-8.659318e-010
1.097142795661707e-008	1.000000e+000	-3.168141e-009
1.462857060882276e-008	1.000000e+000	-6.716179e-009
1.828571326102845e-008	1.000000e+000	-1.151005e-008
2.194285591323414e-008	1.000000e+000	-1.754974e-008
2.559999856543982e-008	1.000000e+000	-2.483527e-008
5.119999713087964e-008	1.000000e+000	-5.587935e-008
1.023999942617593e-007	1.000000e+000	-1.024455e-007
2.047999885235186e-007	1.000000e+000	-2.030283e-007
1.006310719926526e-002	9.999494e-001	-1.006289e-002
2.030310719926485e-002	9.997939e-001	-2.030151e-002
3.054310719926443e-002	9.995336e-001	-3.053789e-002
4.078310719926732e-002	9.991685e-001	-4.077097e-002
5.102310719927046e-002	9.986987e-001	-5.099967e-002
6.126310719927360e-002	9.981241e-001	-6.122292e-002
7.150310719927049e-002	9.974448e-001	-7.143964e-002
8.174310719926652e-002	9.966610e-001	-8.164877e-002
9.198310719926255e-002	9.957727e-001	-9.184923e-002
1.022231071992586e-001	9.947799e-001	-1.020400e-001
1.124631071992546e-001	9.936829e-001	-1.122199e-001
1.227031071992506e-001	9.924817e-001	-1.223879e-001
1.329431071992577e-001	9.911765e-001	-1.325430e-001
1.431831071992679e-001	9.897673e-001	-1.426841e-001
1.534231071992782e-001	9.882544e-001	-1.528102e-001
1.636631071992884e-001	9.866378e-001	-1.629201e-001
1.739031071992987e-001	9.849178e-001	-1.730129e-001
1.841431071993089e-001	9.830946e-001	-1.830873e-001
1.943831071993191e-001	9.811682e-001	-1.931425e-001
2.046231071993294e-001	9.791391e-001	-2.031774e-001
2.148631071993396e-001	9.770072e-001	-2.131908e-001
2.251031071993499e-001	9.747730e-001	-2.231818e-001
2.353431071993601e-001	9.724365e-001	-2.331492e-001
2.455831071993704e-001	9.699982e-001	-2.430921e-001
2.558231071993806e-001	9.674581e-001	-2.530094e-001
2.660631071993908e-001	9.648166e-001	-2.629001e-001
2.763031071994010e-001	9.620740e-001	-2.727632e-001
2.865431071994113e-001	9.592305e-001	-2.825975e-001
2.967831071994215e-001	9.562865e-001	-2.924021e-001
3.070231071994318e-001	9.532422e-001	-3.021759e-001
3.172631071994420e-001	9.500980e-001	-3.119180e-001
3.275031071994523e-001	9.468543e-001	-3.216272e-001
3.377431071994625e-001	9.435112e-001	-3.313026e-001
3.479831071994727e-001	9.400693e-001	-3.409432e-001
3.582231071994830e-001	9.365289e-001	-3.505479e-001
3.684631071994932e-001	9.328902e-001	-3.601158e-001
3.787031071995035e-001	9.291538e-001	-3.696458e-001
3.889431071995137e-001	9.253200e-001	-3.791369e-001
3.991831071995239e-001	9.213892e-001	-3.885882e-001
4.094231071995342e-001	9.173619e-001	-3.979987e-001
4.196631071995444e-001	9.132383e-001	-4.073673e-001
4.299031071995547e-001	9.090191e-001	-4.166932e-001
4.401431071995649e-001	9.047046e-001	-4.259752e-001
4.503831071995751e-001	9.002953e-001	-4.352125e-001
4.606231071995854e-001	8.957916e-001	-4.444040e-001
4.708631071995956e-001	8.911941e-001	-4.535488e-001
4.811031071996059e-001	8.865031e-001	-4.626460e-001
4.913431071996161e-001	8.817192e-001	-4.716946e-001
5.015831071996175e-001	8.768430e-001	-4.806937e-001
5.118231071995709e-001	8.718748e-001	-4.896422e-001
5.220631071995243e-001	8.668153e-001	-4.985393e-001
5.323031071994777e-001	8.616649e-001	-5.073841e-001
5.425431071994311e-001	8.564243e-001	-5.161755e-001
5.527831071993845e-001	8.510938e-001	-5.249128e-001
5.630231071993379e-001	8.456742e-001	-5.335949e-001
5.732631071992913e-001	8.401660e-001	-5.422210e-001
5.835031071992447e-001	8.345698e-001	-5.507901e-001
5.937431071991981e-001	8.288860e-001	-5.593014e-001
6.039831071991515e-001	8.231154e-001	-5.677539e-001
6.142231071991049e-001	8.172586e-001	-5.761468e-001
6.244631071990583e-001	8.113161e-001	-5.844793e-001
6.347031071990117e-001	8.052887e-001	-5.927503e-001
6.449431071989651e-001	7.991768e-001	-6.009592e-001
6.551831071989185e-001	7.929813e-001	-6.091049e-001
6.654231071988719e-001	7.867026e-001	-6.171867e-001
6.756631071988253e-001	7.803415e-001	-6.252036e-001
6.859031071987787e-001	7.738987e-001	-6.331550e-001
6.961431071987321e-001	7.673747e-001	-6.410398e-001
7.063831071986855e-001	7.607704e-001	-6.488574e-001
7.166231071986389e-001	7.540863e-001	-6.566069e-001
7.268631071985923e-001	7.473233e-001	-6.642874e-001
7.371031071985457e-001	7.404820e-001	-6.718982e-001
7.473431071984991e-001	7.335631e-001	-6.794384e-001
7.575831071984525e-001	7.265673e-001	-6.869074e-001
7.678231071984059e-001	7.194955e-001	-6.943042e-001
7.780631071983593e-001	7.123482e-001	-7.016281e-001
7.883031071983127e-001	7.051263e-001	-7.088785e-001
7.985431071982660e-001	6.978306e-001	-7.160544e-001
8.087831071982194e-001	6.904618e-001	-7.231551e-001
8.190231071981728e-001	6.830207e-001	-7.301800e-001
8.292631071981262e-001	6.755080e-001	-7.371282e-001
8.395031071980796e-001	6.679246e-001	-7.439990e-001
8.497431071980330e-001	6.602712e-001	-7.507918e-001
8.599831071979864e-001	6.525486e-001	-7.575058e-001
8.702231071979398e-001	6.447577e-001	-7.641402e-001
8.804631071978932e-001	6.368993e-001	-7.706946e-001
8.907031071978466e-001	6.289742e-001	-7.771679e-001
9.009431071978000e-001	6.209832e-001	-7.835598e-001
9.111831071977534e-001	6.129271e-001	-7.898694e-001
9.214231071977068e-001	6.048070e-001	-7.960961e-001
9.316631071976602e-001	5.966234e-001	-8.022394e-001
9.419031071976136e-001	5.883774e-001	-8.082983e-001
9.521431071975670e-001	5.800697e-001	-8.142725e-001
9.623831071975204e-001	5.717013e-001	-8.201613e-001
9.726231071974738e-001	5.632731e-001	-8.259640e-001
9.828631071974272e-001	5.547859e-001	-8.316800e-001
9.931031071973806e-001	5.462406e-001	-8.373088e-001
1.003343107197371e+000	5.376381e-001	-8.428497e-001
1.013583107197438e+000	5.289794e-001	-8.483021e-001
1.023823107197505e+000	5.202652e-001	-8.536656e-001
1.034063107197572e+000	5.114966e-001	-8.589395e-001
1.044303107197639e+000	5.026744e-001	-8.641233e-001
1.054543107197707e+000	4.937997e-001	-8.692164e-001
1.064783107197774e+000	4.848732e-001	-8.742183e-001
1.075023107197841e+000	4.758960e-001	-8.791285e-001
1.085263107197908e+000	4.668689e-001	-8.839465e-001
1.095503107197975e+000	4.577931e-001	-8.886718e-001
1.105743107198042e+000	4.486693e-001	-8.933038e-001
1.115983107198109e+000	4.394985e-001	-8.978420e-001
1.126223107198176e+000	4.302818e-001	-9.022861e-001
1.136463107198243e+000	4.210200e-001	-9.066356e-001
1.146703107198310e+000	4.117142e-001	-9.108899e-001
1.156943107198377e+000	4.023653e-001	-9.150487e-001
1.167183107198444e+000	3.929743e-001	-9.191114e-001
1.177423107198512e+000	3.835422e-001	-9.230778e-001
1.187663107198579e+000	3.740700e-001	-9.269474e-001
1.197903107198646e+000	3.645587e-001	-9.307197e-001
1.208143107198713e+000	3.550092e-001	-9.343943e-001
1.218383107198780e+000	3.454227e-001	-9.379710e-001
1.228623107198847e+000	3.357999e-001	-9.414492e-001
1.238863107198914e+000	3.261421e-001	-9.448287e-001
1.249103107198981e+000	3.164502e-001	-9.481091e-001
1.259343107199048e+000	3.067252e-001	-9.512901e-001
1.269583107199115e+000	2.969681e-001	-9.543713e-001
1.279823107199182e+000	2.871800e-001	-9.573524e-001
1.290063107199249e+000	2.773619e-001	-9.602330e-001
1.300303107199317e+000	2.675147e-001	-9.630130e-001
1.310543107199384e+000	2.576397e-001	-9.656919e-001
1.320783107199451e+000	2.477377e-001	-9.682696e-001
1.331023107199518e+000	2.378099e-001	-9.707457e-001
1.341263107199585e+000	2.278572e-001	-9.731200e-001
1.351503107199652e+000	2.178807e-001	-9.753922e-001
1.361743107199719e+000	2.078815e-001	-9.775621e-001
1.371983107199786e+000	1.978606e-001	-9.796295e-001
1.382223107199853e+000	1.878190e-001	-9.815941e-001
1.392463107199920e+000	1.777579e-001	-9.834559e-001
1.402703107199987e+000	1.676782e-001	-9.852144e-001
1.412943107200054e+000	1.575811e-001	-9.868697e-001
1.423183107200122e+000	1.474675e-001	-9.884214e-001
1.433423107200189e+000	1.373385e-001	-9.898695e-001
1.443663107200256e+000	1.271953e-001	-9.912138e-001
1.453903107200323e+000	1.170389e-001	-9.924541e-001
1.464143107200390e+000	1.068702e-001	-9.935904e-001
1.474383107200457e+000	9.669048e-002	-9.946225e-001
1.484623107200524e+000	8.650070e-002	-9.955502e-001
1.494863107200591e+000	7.630196e-002	-9.963736e-001
1.505103107200658e+000	6.609533e-002	-9.970924e-001
1.515343107200725e+000	5.588187e-002	-9.977068e-001
1.525583107200792e+000	4.566265e-002	-9.982165e-001
1.535823107200860e+000	3.543875e-002	-9.986215e-001
1.546063107200927e+000	2.521124e-002	-9.989218e-001
1.556303107200994e+000	1.498119e-002	-9.991173e-001
1.566543107201061e+000	4.749676e-003	-9.992081e-001
1.576783107201128e+000	-5.482233e-003	-9.991941e-001
1.587023107201195e+000	-1.571346e-002	-9.990754e-001
1.597263107201262e+000	-2.594294e-002	-9.988519e-001
1.607503107201329e+000	-3.616959e-002	-9.985237e-001
1.617743107201396e+000	-4.639234e-002	-9.980907e-001
1.627983107201463e+000	-5.661013e-002	-9.975531e-001
1.638223107201530e+000	-6.682187e-002	-9.969109e-001
1.648463107201597e+000	-7.702651e-002	-9.961642e-001
1.658703107201665e+000	-8.722296e-002	-9.953130e-001
1.668943107201732e+000	-9.741016e-002	-9.943575e-001
1.679183107201799e+000	-1.075870e-001	-9.932978e-001
1.689423107201866e+000	-1.177525e-001	-9.921338e-001
1.699663107201933e+000	-1.279056e-001	-9.908659e-001
1.709903107202000e+000	-1.380451e-001	-9.894941e-001
1.720143107202067e+000	-1.481701e-001	-9.880185e-001
1.730383107202134e+000	-1.582794e-001	-9.864393e-001
1.740623107202201e+000	-1.683720e-001	-9.847568e-001
1.750863107202268e+000	-1.784469e-001	-9.829710e-001
1.761103107202335e+000	-1.885029e-001	-9.810821e-001
1.771343107202402e+000	-1.985391e-001	-9.790905e-001
1.781583107202470e+000	-2.085543e-001	-9.769961e-001
1.791823107202537e+000	-2.185476e-001	-9.747993e-001
1.802063107202604e+000	-2.285179e-001	-9.725003e-001
1.812303107202671e+000	-2.384641e-001	-9.700994e-001
1.822543107202738e+000	-2.483851e-001	-9.675968e-001
1.832783107202805e+000	-2.582801e-001	-9.649928e-001
1.843023107202872e+000	-2.681479e-001	-9.622875e-001
1.853263107202939e+000	-2.779874e-001	-9.594815e-001
1.863503107203006e+000	-2.877977e-001	-9.565749e-001
1.873743107203073e+000	-2.975777e-001	-9.535679e-001
1.883983107203140e+000	-3.073264e-001	-9.504610e-001
1.894223107203207e+000	-3.170428e-001	-9.472545e-001
1.904463107203275e+000	-3.267259e-001	-9.439487e-001
1.914703107203342e+000	-3.363746e-001	-9.405439e-001
1.924943107203409e+000	-3.459879e-001	-9.370406e-001
1.935183107203476e+000	-3.555648e-001	-9.334391e-001
1.945423107203543e+000	-3.651043e-001	-9.297397e-001
1.955663107203610e+000	-3.746055e-001	-9.259428e-001
1.965903107203677e+000	-3.840673e-001	-9.220489e-001
1.976143107203744e+000	-3.934888e-001	-9.180583e-001
1.986383107203811e+000	-4.028688e-001	-9.139716e-001
1.996623107203878e+000	-4.122066e-001	-9.097890e-001
2.006863107203945e+000	-4.215010e-001	-9.055111e-001
2.017103107204012e+000	-4.307511e-001	-9.011383e-001
2.027343107204080e+000	-4.399560e-001	-8.966711e-001
2.037583107204147e+000	-4.491146e-001	-8.921098e-001
2.047823107204214e+000	-4.582261e-001	-8.874550e-001
2.058063107204281e+000	-4.672894e-001	-8.827073e-001
2.068303107204348e+000	-4.763036e-001	-8.778670e-001
2.078543107204415e+000	-4.852678e-001	-8.729348e-001
2.088783107204482e+000	-4.941810e-001	-8.679111e-001
2.099023107204549e+000	-5.030423e-001	-8.627964e-001
2.109263107204616e+000	-5.118508e-001	-8.575913e-001
2.119503107204683e+000	-5.206054e-001	-8.522963e-001
2.129743107204750e+000	-5.293055e-001	-8.469120e-001
2.139983107204817e+000	-5.379499e-001	-8.414389e-001
2.150223107204885e+000	-5.465379e-001	-8.358778e-001
2.160463107204952e+000	-5.550684e-001	-8.302289e-001
2.170703107205019e+000	-5.635406e-001	-8.244932e-001
2.180943107205086e+000	-5.719537e-001	-8.186709e-001
2.191183107205153e+000	-5.803067e-001	-8.127630e-001
2.201423107205220e+000	-5.885988e-001	-8.067698e-001
2.211663107205287e+000	-5.968291e-001	-8.006921e-001
2.221903107205354e+000	-6.049967e-001	-7.945306e-001
2.232143107205421e+000	-6.131008e-001	-7.882858e-001
2.242383107205488e+000	-6.211405e-001	-7.819583e-001
2.252623107205555e+000	-6.291150e-001	-7.755491e-001
2.262863107205622e+000	-6.370235e-001	-7.690584e-001
2.273103107205690e+000	-6.448650e-001	-7.624873e-001
2.283343107205757e+000	-6.526390e-001	-7.558362e-001
2.293583107205824e+000	-6.603443e-001	-7.491060e-001
2.303823107205891e+000	-6.679804e-001	-7.422972e-001
2.314063107205958e+000	-6.755463e-001	-7.354107e-001
2.324303107206025e+000	-6.830413e-001	-7.284473e-001
2.334543107206092e+000	-6.904646e-001	-7.214074e-001
2.344783107206159e+000	-6.978155e-001	-7.142920e-001
2.355023107206226e+000	-7.050931e-001	-7.071018e-001
2.365263107206293e+000	-7.122967e-001	-6.998374e-001
2.375503107206360e+000	-7.194255e-001	-6.924999e-001
2.385743107206428e+000	-7.264788e-001	-6.850897e-001
2.395983107206495e+000	-7.334559e-001	-6.776078e-001
2.406223107206562e+000	-7.403560e-001	-6.700549e-001
2.416463107206629e+000	-7.471784e-001	-6.624318e-001
2.426703107206696e+000	-7.539223e-001	-6.547394e-001
2.436943107206763e+000	-7.605872e-001	-6.469784e-001
2.447183107206830e+000	-7.671722e-001	-6.391496e-001
2.457423107206897e+000	-7.736768e-001	-6.312539e-001
2.467663107206964e+000	-7.801001e-001	-6.232920e-001
2.477903107207031e+000	-7.864416e-001	-6.152650e-001
2.488143107207098e+000	-7.927005e-001	-6.071734e-001
2.498383107207165e+000	-7.988763e-001	-5.990183e-001
2.508623107207233e+000	-8.049682e-001	-5.908005e-001
2.518863107207300e+000	-8.109757e-001	-5.825207e-001
2.529103107207367e+000	-8.168980e-001	-5.741800e-001
2.539343107207434e+000	-8.227347e-001	-5.657792e-001
2.549583107207501e+000	-8.284850e-001	-5.573191e-001
2.559823107207568e+000	-8.341483e-001	-5.488007e-001
2.570063107207635e+000	-8.397242e-001	-5.402249e-001
2.580303107207702e+000	-8.452119e-001	-5.315924e-001
2.590543107207769e+000	-8.506110e-001	-5.229043e-001
2.600783107207836e+000	-8.559209e-001	-5.141615e-001
2.611023107207903e+000	-8.611408e-001	-5.053648e-001
2.621263107207970e+000	-8.662705e-001	-4.965153e-001
2.631503107208038e+000	-8.713093e-001	-4.876137e-001
2.641743107208105e+000	-8.762567e-001	-4.786612e-001
2.651983107208172e+000	-8.811122e-001	-4.696585e-001
2.662223107208239e+000	-8.858751e-001	-4.606067e-001
2.672463107208306e+000	-8.905452e-001	-4.515067e-001
2.682703107208373e+000	-8.951218e-001	-4.423594e-001
2.692943107208440e+000	-8.996046e-001	-4.331658e-001
2.703183107208507e+000	-9.039929e-001	-4.239269e-001
2.713423107208574e+000	-9.082865e-001	-4.146437e-001
2.723663107208641e+000	-9.124846e-001	-4.053171e-001
2.733903107208708e+000	-9.165872e-001	-3.959481e-001
2.744143107208775e+000	-9.205936e-001	-3.865376e-001
2.754383107208843e+000	-9.245033e-001	-3.770867e-001
2.764623107208910e+000	-9.283161e-001	-3.675964e-001
2.774863107208977e+000	-9.320316e-001	-3.580676e-001
2.785103107209044e+000	-9.356492e-001	-3.485014e-001
2.795343107209111e+000	-9.391688e-001	-3.388987e-001
2.805583107209178e+000	-9.425898e-001	-3.292606e-001
2.815823107209245e+000	-9.459119e-001	-3.195881e-001
2.826063107209312e+000	-9.491348e-001	-3.098821e-001
2.836303107209379e+000	-9.522582e-001	-3.001438e-001
2.846543107209446e+000	-9.552817e-001	-2.903741e-001
2.856783107209513e+000	-9.582049e-001	-2.805740e-001
2.867023107209580e+000	-9.610277e-001	-2.707446e-001
2.877263107209648e+000	-9.637497e-001	-2.608869e-001
2.887503107209715e+000	-9.663706e-001	-2.510020e-001
2.897743107209782e+000	-9.688901e-001	-2.410909e-001
2.907983107209849e+000	-9.713081e-001	-2.311546e-001
2.918223107209916e+000	-9.736241e-001	-2.211941e-001
2.928463107209983e+000	-9.758380e-001	-2.112106e-001
2.938703107210050e+000	-9.779496e-001	-2.012050e-001
2.948943107210117e+000	-9.799586e-001	-1.911784e-001
2.959183107210184e+000	-9.818649e-001	-1.811319e-001
2.969423107210251e+000	-9.836681e-001	-1.710664e-001
2.979663107210318e+000	-9.853683e-001	-1.609832e-001
2.989903107210385e+000	-9.869650e-001	-1.508832e-001
3.000143107210453e+000	-9.884583e-001	-1.407674e-001
3.010383107210520e+000	-9.898479e-001	-1.306370e-001
3.020623107210587e+000	-9.911337e-001	-1.204930e-001
3.030863107210654e+000	-9.923155e-001	-1.103365e-001
3.041103107210721e+000	-9.933933e-001	-1.001685e-001
3.051343107210788e+000	-9.943669e-001	-8.999007e-002
3.061583107210855e+000	-9.952363e-001	-7.980235e-002
3.071823107210922e+000	-9.960012e-001	-6.960636e-002
3.082063107210989e+000	-9.966618e-001	-5.940317e-002
3.092303107211056e+000	-9.972178e-001	-4.919386e-002
3.102543107211123e+000	-9.976693e-001	-3.897950e-002
3.112783107211190e+000	-9.980161e-001	-2.876116e-002
3.123023107211258e+000	-9.982583e-001	-1.853990e-002
3.133263107211325e+000	-9.983958e-001	-8.316803e-003
