time	V(n002)	V(n002)-V(n003)	V(n003)
0.000000000000000e+000	1.000000e+000	1.000000e+000	0.000000e+000
9.999999717180685e-010	1.000000e+000	1.000000e+000	3.000000e-009
1.999999943436137e-009	1.000000e+000	1.000000e+000	6.000000e-009
4.793491864430790e-003	1.028670e+000	1.014363e+000	1.430736e-002
9.586981728861636e-003	1.057217e+000	1.028699e+000	2.851761e-002
1.438047159329248e-002	1.085641e+000	1.043010e+000	4.263073e-002
1.917396145772333e-002	1.113942e+000	1.057295e+000	5.664674e-002
2.396745132215417e-002	1.142120e+000	1.071554e+000	7.056563e-002
2.876094118658502e-002	1.170175e+000	1.085788e+000	8.438740e-002
3.355443105101585e-002	1.198107e+000	1.099995e+000	9.811206e-002
5.196220050564359e-002	1.304542e+000	1.154366e+000	1.501764e-001
7.036996996027133e-002	1.409287e+000	1.208354e+000	2.009328e-001
8.877773941489905e-002	1.512290e+000	1.261933e+000	2.503577e-001
1.255932783241545e-001	1.713027e+000	1.367789e+000	3.452384e-001
1.624088172334100e-001	1.906661e+000	1.471792e+000	4.348691e-001
1.992243561426655e-001	2.093102e+000	1.573800e+000	5.193013e-001
2.544476645065487e-001	2.359088e+000	1.722771e+000	6.363168e-001
3.096709728704319e-001	2.608423e+000	1.866490e+000	7.419335e-001
3.648942812343152e-001	2.840856e+000	2.004518e+000	8.363375e-001
4.201175895981984e-001	3.056157e+000	2.136435e+000	9.197221e-001
4.779705793127427e-001	3.263367e+000	2.268568e+000	9.947994e-001
5.358235690272871e-001	3.451071e+000	2.392160e+000	1.058911e+000
5.936765587418315e-001	3.619269e+000	2.507213e+000	1.112056e+000
6.515295484563758e-001	3.767961e+000	2.613727e+000	1.154234e+000
7.093825381709201e-001	3.897147e+000	2.711700e+000	1.185447e+000
7.672355278854646e-001	4.006827e+000	2.801133e+000	1.205693e+000
8.250885176000087e-001	4.097001e+000	2.882027e+000	1.214974e+000
8.434962870546364e-001	4.121534e+000	2.905481e+000	1.216053e+000
8.619040565092642e-001	4.144087e+000	2.927951e+000	1.216137e+000
8.803118259638919e-001	4.164664e+000	2.949428e+000	1.215236e+000
9.171273648731474e-001	4.199903e+000	2.989378e+000	1.210525e+000
9.539429037824029e-001	4.227282e+000	3.025276e+000	1.202005e+000
1.009166212146286e+000	4.253708e+000	3.071423e+000	1.182285e+000
1.045981751055541e+000	4.261638e+000	3.096993e+000	1.164645e+000
1.064389520510169e+000	4.262719e+000	3.108207e+000	1.154512e+000
1.082797289964797e+000	4.261888e+000	3.118366e+000	1.143521e+000
1.119612828874052e+000	4.254526e+000	3.135513e+000	1.119012e+000
1.138020598328680e+000	4.248013e+000	3.142494e+000	1.105519e+000
1.193243906692562e+000	4.217278e+000	3.157041e+000	1.060237e+000
1.248467215056445e+000	4.169987e+000	3.161963e+000	1.008023e+000
1.274764028563056e+000	4.141632e+000	3.160907e+000	9.807253e-001
1.301060842069667e+000	4.109752e+000	3.157675e+000	9.520769e-001
1.327357655576278e+000	4.074346e+000	3.152268e+000	9.220782e-001
1.353654469082889e+000	4.035414e+000	3.144685e+000	8.907291e-001
1.379951282589500e+000	3.992956e+000	3.134926e+000	8.580297e-001
1.406248096096111e+000	3.946972e+000	3.122992e+000	8.239798e-001
1.432544909602722e+000	3.897461e+000	3.108882e+000	7.885796e-001
1.453582360408010e+000	3.855456e+000	3.096039e+000	7.594162e-001
1.474619811213299e+000	3.811402e+000	3.081844e+000	7.295578e-001
1.495657262018588e+000	3.765301e+000	3.066296e+000	6.990046e-001
1.516694712823877e+000	3.717152e+000	3.049396e+000	6.677564e-001
1.537732163629165e+000	3.666956e+000	3.031143e+000	6.358132e-001
1.558769614434454e+000	3.614712e+000	3.011537e+000	6.031752e-001
1.579807065239743e+000	3.560420e+000	2.990578e+000	5.698422e-001
1.613992922798337e+000	3.467814e+000	2.953600e+000	5.142138e-001
1.648178780356931e+000	3.370600e+000	2.913300e+000	4.572996e-001
1.682364637915525e+000	3.268778e+000	2.869678e+000	3.990996e-001
1.716550495474119e+000	3.162348e+000	2.822734e+000	3.396139e-001
1.750736353032714e+000	3.051310e+000	2.772468e+000	2.788425e-001
1.784922210591308e+000	2.935664e+000	2.718879e+000	2.167853e-001
1.819108068149902e+000	2.815410e+000	2.661968e+000	1.534423e-001
1.855923607059157e+000	2.681803e+000	2.597355e+000	8.444812e-002
1.892739145968412e+000	2.543715e+000	2.529223e+000	1.449204e-002
1.911146915423040e+000	2.473058e+000	2.493865e+000	-2.080752e-002
