time	V(n001)	V(n002)	V(n003)	V(n004)	I(L1)	I(L2)	I(R1)	I(R2)	I(R3)	I(R4)
0.000000000000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e-012	0.000000e+000	1.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.999999717180685e-010	8.125000e-001	8.339583e-011	-1.875000e-001	8.339583e-011	7.508125e-010	-2.501875e-010	8.125000e-001	1.667917e-010	-5.625000e-001	3.335833e-010
1.999999943436137e-009	7.500000e-001	1.667500e-010	-2.500000e-001	1.667500e-010	1.500750e-009	-5.002500e-010	7.500000e-001	3.335000e-010	-7.500000e-001	6.670000e-010
2.396746789358228e-003	7.483529e-001	2.008940e-004	-2.498492e-001	1.982553e-004	1.794097e-003	-5.992873e-004	7.483529e-001	4.017881e-004	-7.495477e-001	7.930214e-004
4.793491578716512e-003	7.467068e-001	4.033270e-004	-2.496972e-001	3.945239e-004	3.583417e-003	-1.198668e-003	7.467068e-001	8.066539e-004	-7.490915e-001	1.578095e-003
7.190236368074796e-003	7.450616e-001	6.072990e-004	-2.495438e-001	5.888057e-004	5.367963e-003	-1.798142e-003	7.450616e-001	1.214598e-003	-7.486314e-001	2.355223e-003
9.586981157433080e-003	7.434174e-001	8.128101e-004	-2.493891e-001	7.811009e-004	7.147735e-003	-2.397711e-003	7.434174e-001	1.625620e-003	-7.481674e-001	3.124404e-003
1.198372594679137e-002	7.417741e-001	1.019860e-003	-2.492332e-001	9.714095e-004	8.922732e-003	-2.997373e-003	7.417741e-001	2.039721e-003	-7.476995e-001	3.885638e-003
1.438047073614965e-002	7.401318e-001	1.228450e-003	-2.490759e-001	1.159731e-003	1.069295e-002	-3.597129e-003	7.401318e-001	2.456899e-003	-7.472277e-001	4.638925e-003
1.677721552550793e-002	7.384905e-001	1.438578e-003	-2.489173e-001	1.346067e-003	1.245840e-002	-4.196980e-003	7.384905e-001	2.877156e-003	-7.467519e-001	5.384266e-003
2.654284052550793e-002	7.318100e-001	2.305498e-003	-2.482617e-001	2.091048e-003	1.961657e-002	-6.641380e-003	7.318100e-001	4.610996e-003	-7.447852e-001	8.364190e-003
3.630846552550793e-002	7.251444e-001	3.194137e-003	-2.475872e-001	2.807222e-003	2.670352e-002	-9.086357e-003	7.251444e-001	6.388275e-003	-7.427616e-001	1.122889e-002
4.607409052550793e-002	7.184944e-001	4.104627e-003	-2.468932e-001	3.493968e-003	3.371660e-002	-1.153148e-002	7.184944e-001	8.209254e-003	-7.406795e-001	1.397587e-002
5.583971552550793e-002	7.118603e-001	5.036274e-003	-2.461799e-001	4.151736e-003	4.065576e-002	-1.397627e-002	7.118603e-001	1.007255e-002	-7.385398e-001	1.660694e-002
6.560534052550793e-002	7.052425e-001	5.988398e-003	-2.454477e-001	4.780972e-003	4.752095e-002	-1.642026e-002	7.052425e-001	1.197680e-002	-7.363431e-001	1.912389e-002
7.537096552550793e-002	6.986413e-001	6.960324e-003	-2.446968e-001	5.382119e-003	5.431212e-002	-1.886300e-002	6.986413e-001	1.392065e-002	-7.340904e-001	2.152848e-002
9.490221552550793e-002	6.854899e-001	8.960939e-003	-2.431398e-001	6.501899e-003	6.767236e-002	-2.374289e-002	6.854899e-001	1.792188e-002	-7.294194e-001	2.600760e-002
1.144334655255079e-001	6.724085e-001	1.103291e-002	-2.415108e-001	7.514543e-003	8.073638e-002	-2.861239e-002	6.724085e-001	2.206582e-002	-7.245325e-001	3.005817e-002
1.339647155255079e-001	6.593996e-001	1.317118e-002	-2.398119e-001	8.423459e-003	9.350424e-002	-3.346805e-002	6.593996e-001	2.634235e-002	-7.194358e-001	3.369384e-002
1.534959655255079e-001	6.464656e-001	1.537081e-002	-2.380451e-001	9.231994e-003	1.059761e-001	-3.830654e-002	6.464656e-001	3.074162e-002	-7.141352e-001	3.692798e-002
1.827928405255079e-001	6.272100e-001	1.877487e-002	-2.352716e-001	1.026376e-002	1.241298e-001	-4.552503e-002	6.272100e-001	3.754973e-002	-7.058147e-001	4.105505e-002
2.120897155255079e-001	6.081356e-001	2.229064e-002	-2.323562e-001	1.108792e-002	1.416201e-001	-5.268711e-002	6.081356e-001	4.458129e-002	-6.970686e-001	4.435168e-002
2.413865905255079e-001	5.892500e-001	2.590319e-002	-2.293055e-001	1.171503e-002	1.584493e-001	-5.978282e-002	5.892500e-001	5.180638e-002	-6.879165e-001	4.686012e-002
2.706834655255079e-001	5.705601e-001	2.959822e-002	-2.261260e-001	1.215537e-002	1.746206e-001	-6.680265e-002	5.705601e-001	5.919644e-002	-6.783780e-001	4.862148e-002
2.999803405255079e-001	5.520729e-001	3.336206e-002	-2.228242e-001	1.241893e-002	1.901375e-001	-7.373762e-002	5.520729e-001	6.672412e-002	-6.684728e-001	4.967572e-002
3.292772155255079e-001	5.337950e-001	3.718167e-002	-2.194067e-001	1.251542e-002	2.050042e-001	-8.057920e-002	5.337950e-001	7.436334e-002	-6.582201e-001	5.006169e-002
3.585740905255079e-001	5.157328e-001	4.104461e-002	-2.158797e-001	1.245428e-002	2.192257e-001	-8.731933e-002	5.157328e-001	8.208922e-002	-6.476392e-001	4.981712e-002
3.878709655255079e-001	4.978924e-001	4.493901e-002	-2.122497e-001	1.224467e-002	2.328071e-001	-9.395044e-002	4.978924e-001	8.987802e-002	-6.367491e-001	4.897866e-002
4.171678405255079e-001	4.802674e-001	4.887705e-002	-2.085079e-001	1.187556e-002	2.457358e-001	-1.004794e-001	4.802674e-001	9.775410e-002	-6.255237e-001	4.750222e-002
4.464647155255079e-001	4.628878e-001	5.280061e-002	-2.046905e-001	1.139563e-002	2.580549e-001	-1.068711e-001	4.628878e-001	1.056012e-001	-6.140716e-001	4.558252e-002
