time	V(n001)	V(n002)	I(L1)	I(L2)
0.000000000000000e+000	1.000000e+000	1.000000e-015	1.000000e-005	1.000000e-020
9.999999439624929e-011	1.000000e+000	7.300090e-014	1.000010e-005	1.000051e-020
1.999999887924986e-010	1.000000e+000	1.450024e-013	1.000020e-005	1.000135e-020
4.497182362075547e-004	9.999974e-001	7.607750e-006	4.597387e-004	-8.446869e-010
8.994362724151205e-004	9.999897e-001	2.977486e-005	9.094462e-004	-4.080175e-010
1.349154308622686e-003	9.999769e-001	6.650133e-005	1.359123e-003	1.310008e-009
1.798872344830252e-003	9.999591e-001	1.177872e-004	1.808768e-003	4.309390e-009
2.248590381037818e-003	9.999363e-001	1.836323e-004	2.258382e-003	8.590129e-009
2.698308417245384e-003	9.999083e-001	2.640369e-004	2.707965e-003	1.415222e-008
3.148026453452949e-003	9.998754e-001	3.590008e-004	3.157517e-003	2.099567e-008
3.610883596310078e-003	9.998361e-001	4.719431e-004	3.620140e-003	3.065557e-008
4.073740739167207e-003	9.997916e-001	6.002923e-004	4.082664e-003	4.440830e-008
4.536597882024335e-003	9.997416e-001	7.440483e-004	4.545088e-003	6.225387e-008
4.999455024881464e-003	9.996864e-001	9.032113e-004	5.007413e-003	8.419227e-008
5.462312167738593e-003	9.996258e-001	1.077781e-003	5.469639e-003	1.102235e-007
5.925169310595722e-003	9.995598e-001	1.267758e-003	5.931766e-003	1.403476e-007
6.388026453452850e-003	9.994885e-001	1.473141e-003	6.393793e-003	1.745645e-007
6.908026453452829e-003	9.994020e-001	1.722252e-003	6.912709e-003	2.192716e-007
7.428026453452807e-003	9.993087e-001	1.990764e-003	7.431410e-003	2.728570e-007
7.948026453452786e-003	9.992087e-001	2.278679e-003	7.949895e-003	3.353206e-007
8.468026453452765e-003	9.991020e-001	2.585995e-003	8.468165e-003	4.066624e-007
8.988026453452744e-003	9.989886e-001	2.912713e-003	8.986220e-003	4.868824e-007
9.508026453452724e-003	9.988684e-001	3.258832e-003	9.504059e-003	5.759807e-007
1.002802645345270e-002	9.987415e-001	3.624354e-003	1.002168e-002	6.739572e-007
1.003802645345270e-002	9.987390e-001	3.631573e-003	1.003163e-002	6.759727e-007
1.070231216773839e-002	9.985669e-001	4.127205e-003	1.069252e-002	8.161326e-007
1.136659788202408e-002	9.983838e-001	4.654361e-003	1.135288e-002	9.780748e-007
1.203088359630976e-002	9.981898e-001	5.213043e-003	1.201271e-002	1.161799e-006
1.269516931059545e-002	9.979849e-001	5.803250e-003	1.267201e-002	1.367306e-006
1.335945502488114e-002	9.977690e-001	6.424981e-003	1.333079e-002	1.594595e-006
1.402374073916683e-002	9.975421e-001	7.078238e-003	1.398903e-002	1.843666e-006
